PM2.5,PM10,Temperature,Humidity,CO,NO2,AQI
213.39,429.48,32.25,47.73,9.75,55.14,418.0
217.49,528.5,32.09,74.37,2.78,85.35,500.0
178.55,348.83,15.45,78.79,7.06,146.32,365.0
210.07,399.61,27.19,57.89,9.29,65.91,409.0
175.88,222.56,22.36,58.29,6.89,40.81,278.0
171.63,220.0,23.31,44.88,6.84,33.35,242.0
156.56,226.0,31.64,59.23,2.32,34.23,254.0
189.42,235.29,21.2,51.98,5.4,36.96,288.0
43.86,95.01,33.86,45.11,5.67,116.72,133.0
220.81,472.61,18.59,33.36,7.03,18.54,356.0
218.6,300.99,28.25,42.64,9.97,149.64,375.0
12.17,27.82,28.44,39.89,0.43,83.18,52.0
207.33,290.51,20.04,57.1,0.75,86.2,278.0
36.57,58.21,21.5,60.08,0.87,60.06,68.0
87.1,132.72,31.7,60.43,7.46,106.64,220.0
187.16,315.18,30.24,49.41,1.45,76.0,322.0
44.39,67.96,21.58,51.06,6.26,56.07,115.0
205.4,377.04,25.68,71.71,3.31,47.12,381.0
208.87,361.27,16.23,53.81,4.63,139.59,332.0
129.33,321.07,19.17,79.39,2.24,50.74,263.0
6.56,8.35,24.72,51.98,8.67,71.1,56.0
75.32,104.31,16.72,62.48,5.9,59.05,148.0
156.15,198.1,31.87,32.52,9.45,22.07,255.0
245.39,494.12,29.36,62.67,5.79,36.03,477.0
159.79,203.08,33.87,72.57,1.33,36.53,275.0
68.65,157.03,28.87,77.12,1.79,107.11,176.0
160.33,299.1,33.81,79.87,9.89,66.92,398.0
137.3,258.82,26.09,44.11,7.28,119.48,278.0
196.06,378.41,27.0,58.77,0.59,109.25,344.0
31.21,44.38,34.54,52.54,7.07,36.89,98.0
191.45,278.94,27.84,58.19,4.18,88.81,308.0
137.61,222.17,15.62,37.87,3.14,114.01,203.0
240.93,475.01,29.48,72.81,1.63,98.63,484.0
88.76,130.76,33.11,75.48,8.42,94.0,211.0
159.99,216.19,30.91,52.48,0.73,113.55,254.0
233.35,574.3,26.68,44.02,2.97,17.95,429.0
30.11,37.0,28.43,37.04,3.13,112.4,77.0
234.62,526.37,34.8,64.19,1.69,48.17,487.0
173.53,386.01,16.81,45.61,5.13,90.06,291.0
21.62,34.3,28.34,75.48,0.22,43.92,47.0
78.74,108.37,20.67,63.55,3.08,127.43,134.0
178.5,248.0,27.8,62.28,9.34,77.28,330.0
21.5,45.3,27.15,57.97,3.17,100.01,71.0
147.63,300.53,18.07,32.29,3.67,121.17,237.0
89.74,199.01,19.13,76.6,4.78,135.34,210.0
157.12,380.04,27.43,61.4,5.66,112.49,341.0
16.21,34.03,17.56,79.7,8.11,30.83,74.0
218.53,306.51,20.3,56.87,1.98,129.63,338.0
243.5,369.27,31.7,65.51,8.73,96.6,479.0
242.38,556.21,21.54,32.81,7.6,95.32,442.0
188.66,277.73,24.76,61.59,7.25,138.99,361.0
36.87,47.72,33.82,68.23,0.96,44.84,62.0
190.77,403.35,19.54,68.93,0.31,43.54,331.0
11.02,19.0,22.79,68.51,5.98,81.85,67.0
10.42,24.97,27.13,41.31,8.65,115.12,82.0
84.28,172.39,30.11,78.77,5.89,72.61,218.0
124.72,164.32,33.03,79.76,2.21,98.74,268.0
193.75,471.24,33.31,33.78,1.0,73.35,351.0
172.41,264.84,30.53,76.82,7.03,95.45,350.0
114.25,187.18,19.57,44.47,7.25,125.12,226.0
72.04,124.12,15.5,64.46,1.81,35.27,114.0
249.3,315.76,22.68,46.91,0.38,107.35,340.0
109.41,201.92,17.83,78.39,4.14,120.24,236.0
115.59,157.24,29.21,35.08,5.87,72.6,197.0
45.09,77.61,28.22,54.89,7.09,55.25,122.0
199.73,330.73,15.88,51.4,8.12,11.9,316.0
174.95,385.72,31.73,46.3,6.14,121.59,357.0
59.09,132.6,19.97,62.28,1.2,55.91,113.0
25.18,35.24,23.64,36.55,6.86,60.02,79.0
171.72,287.9,28.36,65.83,9.84,57.04,329.0
165.36,278.68,23.59,79.03,9.07,79.82,359.0
71.95,100.5,23.83,70.23,8.73,108.35,180.0
237.96,532.56,16.31,73.0,3.09,118.06,452.0
42.01,89.03,23.03,47.98,7.53,64.96,100.0
110.92,160.56,30.3,46.24,8.53,102.83,210.0
236.19,396.02,33.3,55.85,6.82,110.9,446.0
107.83,144.23,23.27,32.29,2.58,51.57,158.0
161.44,325.57,23.47,77.27,9.54,23.53,328.0
102.41,139.05,29.05,37.19,4.56,135.25,190.0
72.18,179.14,33.86,75.15,1.39,104.8,189.0
246.07,545.03,20.34,34.18,1.19,100.74,385.0
105.29,179.76,23.8,71.13,6.51,18.25,213.0
224.05,437.38,30.92,37.6,4.43,124.5,401.0
61.34,146.28,27.19,31.91,1.04,89.25,114.0
57.21,109.86,17.21,65.97,7.43,128.7,158.0
12.63,18.02,27.55,44.01,8.01,146.44,63.0
164.66,278.65,18.73,65.72,7.28,143.99,307.0
95.29,218.79,25.2,57.75,2.1,129.85,210.0
216.77,441.66,25.58,35.44,6.93,11.53,357.0
120.94,247.43,32.52,76.61,0.21,134.0,254.0
242.21,563.58,24.25,52.62,3.12,20.51,449.0
50.45,119.18,20.59,66.72,4.05,129.17,126.0
217.81,521.82,19.62,55.05,8.37,49.22,421.0
195.27,258.4,32.49,60.22,3.96,95.41,339.0
193.88,369.79,18.42,45.14,0.21,15.33,280.0
211.97,458.42,23.52,40.02,3.59,117.97,381.0
191.45,418.13,18.74,57.13,5.04,25.64,340.0
158.42,315.06,30.47,52.01,9.5,67.5,338.0
37.15,52.64,24.49,49.51,9.42,124.44,121.0
12.97,29.01,22.02,63.63,1.89,107.35,61.0
230.61,492.61,22.22,64.53,1.93,10.85,424.0
156.08,204.77,32.04,32.3,1.72,66.42,224.0
200.15,360.86,26.08,46.94,7.91,15.87,353.0
122.97,175.38,29.36,50.59,0.16,104.29,214.0
33.74,55.29,32.94,34.84,1.36,145.65,98.0
35.67,43.64,33.03,41.8,5.43,101.74,93.0
172.96,297.57,21.57,32.58,2.55,41.41,256.0
110.42,211.45,34.05,79.81,1.01,59.73,240.0
54.13,108.55,15.5,66.83,3.66,146.73,143.0
125.44,258.73,22.54,34.37,2.81,41.37,209.0
20.73,47.42,32.92,31.01,5.16,88.61,80.0
147.58,218.44,20.49,65.96,9.79,66.06,280.0
70.9,96.19,20.46,51.96,1.33,117.56,123.0
200.4,462.33,21.05,69.34,3.79,131.43,414.0
81.04,113.75,27.25,76.17,9.33,57.72,193.0
116.53,287.5,23.77,59.97,8.78,102.46,280.0
7.85,18.01,29.53,39.36,4.0,86.87,68.0
22.75,42.11,32.9,69.11,7.02,48.98,99.0
101.16,250.46,28.48,77.79,0.97,48.07,225.0
122.59,162.62,19.09,59.01,7.15,85.41,210.0
152.01,242.29,33.65,64.1,9.73,31.56,329.0
76.46,155.18,20.29,46.87,5.42,123.51,157.0
175.27,290.07,18.0,49.08,5.04,19.66,249.0
215.73,519.24,16.8,66.73,1.95,23.24,379.0
196.06,252.0,26.27,76.39,6.37,57.91,328.0
14.71,28.15,17.28,61.45,5.95,26.53,44.0
122.72,241.54,17.78,69.49,6.55,76.6,235.0
30.71,62.91,21.0,38.58,0.36,65.95,72.0
64.3,98.53,20.63,40.6,5.53,111.05,128.0
246.73,413.01,27.08,56.6,5.99,143.42,441.0
39.91,91.67,31.33,38.83,2.15,115.5,88.0
127.23,184.92,30.23,61.75,2.16,35.12,214.0
156.45,355.91,20.25,44.58,2.83,140.97,270.0
177.1,342.07,19.91,69.58,7.15,64.9,337.0
142.11,311.35,34.32,70.41,6.1,76.39,363.0
7.39,15.73,15.16,53.19,8.47,69.02,69.0
84.98,124.91,32.59,39.04,3.03,49.28,143.0
131.84,255.7,18.99,62.34,9.13,135.31,287.0
26.53,61.76,33.95,79.64,7.46,56.51,113.0
90.9,160.15,21.85,61.13,4.01,91.0,171.0
13.13,32.27,23.81,31.79,1.04,43.6,51.0
24.25,43.36,29.14,30.86,2.64,121.63,59.0
102.25,141.67,26.75,46.02,9.57,118.39,206.0
37.52,64.01,21.36,39.79,3.17,51.48,78.0
144.05,351.07,26.08,70.65,3.37,105.42,318.0
173.92,280.99,29.61,72.24,1.98,108.54,336.0
201.14,468.37,15.85,42.93,8.09,88.75,353.0
54.04,126.75,15.22,46.28,2.83,94.08,119.0
46.03,76.2,24.16,41.81,3.37,90.42,103.0
30.62,40.06,17.64,75.42,4.2,21.46,66.0
160.93,344.69,28.29,55.13,4.39,103.84,345.0
178.09,285.82,19.28,62.81,4.17,75.77,287.0
12.74,28.25,23.66,50.77,5.09,71.38,74.0
234.37,416.12,18.95,61.55,8.16,130.4,430.0
17.73,32.47,25.97,49.29,8.21,13.25,89.0
137.62,304.31,17.32,46.98,8.0,45.18,257.0
178.72,303.3,15.46,61.72,1.1,27.0,256.0
218.39,387.87,16.02,59.55,8.02,14.95,376.0
179.95,303.95,34.09,44.68,1.29,48.59,296.0
201.42,337.9,17.85,37.47,1.33,148.39,281.0
88.17,166.08,29.17,48.43,9.48,47.83,199.0
204.63,460.72,16.36,50.76,8.21,102.92,366.0
24.63,41.14,17.16,61.43,5.57,26.56,73.0
224.23,421.9,25.18,75.73,8.76,94.26,458.0
139.16,288.33,24.3,31.81,9.89,147.83,273.0
205.24,318.17,34.03,42.18,6.15,50.86,358.0
115.82,180.77,33.9,39.69,6.17,128.73,235.0
162.68,392.61,30.59,55.11,7.57,149.66,385.0
133.97,286.77,27.04,51.49,2.4,92.4,261.0
184.24,359.33,24.1,66.45,1.75,53.32,333.0
25.0,51.05,22.12,42.12,7.62,104.29,88.0
19.79,24.5,33.94,59.72,3.51,128.28,79.0
65.54,131.31,27.06,74.19,1.44,33.99,141.0
44.09,82.11,26.58,75.53,3.22,73.35,112.0
218.59,417.39,19.64,77.94,3.65,54.69,404.0
58.71,97.88,15.93,68.66,9.66,49.67,135.0
244.09,318.76,33.9,75.3,7.01,130.51,465.0
87.54,127.05,21.27,41.73,5.36,69.03,142.0
49.62,120.87,23.85,39.88,9.69,57.47,133.0
198.48,343.62,17.29,30.32,9.04,94.49,313.0
166.38,300.6,31.74,65.34,5.17,40.72,337.0
127.06,161.18,15.55,76.87,9.07,42.19,215.0
141.06,176.17,31.68,39.35,4.1,82.84,227.0
181.2,386.39,17.81,61.85,2.38,67.3,315.0
60.97,115.82,32.73,67.32,2.4,51.3,131.0
249.1,463.66,29.6,76.38,6.66,17.55,484.0
243.82,369.65,18.29,62.34,5.06,82.91,391.0
164.33,356.3,26.32,78.51,6.62,124.33,371.0
53.89,76.45,21.25,47.23,6.89,129.19,127.0
171.66,248.37,18.56,47.5,0.32,42.96,219.0
22.69,40.82,32.18,57.15,0.63,93.95,70.0
12.51,19.67,23.07,49.18,5.37,129.82,66.0
68.13,103.68,22.97,30.07,1.99,67.22,104.0
118.34,241.28,18.4,66.59,6.36,140.5,253.0
217.73,445.53,22.66,67.59,5.57,136.42,436.0
183.16,416.11,32.43,67.35,5.9,39.14,409.0
186.96,325.88,22.26,47.25,3.09,46.26,292.0
109.25,141.47,34.03,56.11,6.43,35.26,201.0
89.75,139.64,33.93,48.0,8.31,37.45,175.0
95.9,237.27,17.9,30.8,9.98,137.1,198.0
246.97,487.81,18.55,58.12,8.4,140.36,458.0
14.83,31.47,32.25,36.19,5.62,17.27,53.0
217.42,262.99,22.86,34.0,2.01,93.1,270.0
146.78,275.01,15.09,67.77,6.85,88.99,260.0
112.46,140.44,20.48,30.48,9.38,64.68,160.0
182.69,354.41,26.95,77.95,2.2,98.44,363.0
124.23,297.79,30.99,55.76,2.63,142.63,293.0
218.99,538.48,17.67,79.15,1.58,33.84,425.0
225.67,429.39,17.21,32.9,7.39,26.86,337.0
108.32,194.51,33.44,59.18,4.12,14.67,207.0
72.82,176.85,30.02,47.47,0.72,60.94,157.0
150.13,311.62,26.8,72.17,8.76,57.27,336.0
228.53,293.52,30.38,48.06,5.62,70.31,345.0
56.61,102.21,23.58,43.02,3.38,80.46,111.0
157.63,238.38,30.17,72.88,3.51,116.1,326.0
159.73,289.23,22.44,48.73,2.97,64.9,281.0
184.61,330.85,19.88,30.84,4.61,56.29,275.0
37.23,72.86,29.58,49.51,3.44,125.76,104.0
180.38,300.11,23.39,62.73,5.52,128.97,336.0
227.71,321.88,34.63,42.72,7.76,42.59,382.0
49.02,90.93,21.99,51.6,6.78,54.05,117.0
63.2,144.05,33.43,32.84,3.02,125.52,151.0
242.99,501.34,33.66,59.4,5.33,21.12,487.0
49.34,80.91,19.84,67.81,8.42,55.62,126.0
214.32,517.85,30.96,50.67,0.78,72.77,410.0
125.61,299.68,23.66,51.01,0.88,36.19,225.0
65.57,96.53,33.35,34.41,5.61,35.19,134.0
218.33,273.19,24.0,40.1,6.43,69.48,310.0
114.1,246.88,29.89,37.73,2.19,115.63,224.0
131.13,298.44,24.34,54.08,7.48,127.63,288.0
93.01,228.64,19.56,56.46,6.5,147.09,212.0
150.27,354.16,18.99,77.45,9.24,20.36,331.0
45.06,89.26,23.51,33.66,1.77,40.34,70.0
100.81,190.45,30.11,59.99,7.54,115.93,229.0
242.51,299.78,27.1,56.32,0.93,85.68,366.0
68.24,103.77,28.77,55.81,5.7,55.88,141.0
165.9,298.21,20.65,73.66,5.56,38.78,300.0
84.67,170.79,24.63,40.28,3.95,49.27,173.0
194.5,374.3,15.89,32.04,8.46,70.1,307.0
37.06,80.26,31.35,63.61,0.14,34.8,75.0
242.61,379.36,34.8,47.26,5.25,144.99,439.0
116.18,224.74,23.14,30.88,2.25,25.06,174.0
62.83,82.6,15.22,42.57,7.46,147.98,124.0
23.01,39.98,18.4,45.47,0.53,127.87,62.0
46.59,101.34,28.05,60.84,8.33,69.24,142.0
132.34,278.11,27.24,38.63,8.4,113.57,273.0
87.57,217.85,30.76,50.65,8.35,104.01,243.0
208.08,324.86,20.08,54.12,1.61,39.86,312.0
110.57,204.29,30.27,52.96,6.34,57.47,222.0
65.93,107.37,28.76,78.7,0.24,81.84,139.0
156.2,276.91,21.46,32.28,8.49,99.3,251.0
178.16,412.27,25.91,77.55,7.26,86.01,419.0
45.93,95.96,17.95,59.1,5.36,76.22,115.0
46.07,108.13,24.05,69.79,7.33,72.04,147.0
13.98,20.48,32.62,51.52,1.03,79.76,41.0
185.42,433.02,23.42,52.69,5.33,70.81,382.0
167.63,214.18,31.79,73.97,2.98,85.79,292.0
121.28,285.65,26.81,74.8,9.73,134.32,338.0
211.82,344.8,18.84,41.93,8.59,98.6,323.0
202.39,325.64,26.62,39.96,7.36,111.17,344.0
148.41,276.89,25.12,54.81,9.34,93.65,308.0
217.73,527.53,22.97,75.01,3.53,100.02,467.0
55.43,69.96,17.39,46.12,9.02,90.97,118.0
32.42,53.75,23.33,62.6,3.32,13.76,71.0
71.09,164.47,16.46,65.41,7.35,149.94,189.0
18.99,32.56,16.98,68.93,7.39,14.71,86.0
135.14,197.15,23.32,58.2,0.28,65.32,197.0
234.47,410.84,21.11,50.12,3.67,24.72,355.0
14.64,24.9,33.51,78.35,0.29,23.57,37.0
34.92,83.45,22.51,60.57,9.97,121.09,136.0
115.79,253.64,30.16,66.43,1.31,69.63,243.0
233.8,434.08,25.6,47.25,5.47,122.16,420.0
82.46,204.9,29.08,63.5,7.93,48.19,191.0
129.27,233.32,20.2,42.89,2.09,45.9,193.0
15.19,19.37,33.84,42.25,4.9,45.17,38.0
41.34,63.71,25.6,65.74,6.11,96.26,106.0
246.72,435.94,31.63,56.07,1.69,124.1,469.0
241.45,339.0,22.3,64.16,7.81,73.32,404.0
6.21,15.1,17.0,43.47,3.06,63.09,44.0
238.19,523.29,28.47,59.94,2.19,146.3,477.0
161.58,250.26,15.16,52.2,5.63,26.35,247.0
217.64,428.33,24.51,59.85,4.16,78.13,381.0
116.41,248.87,18.86,44.54,9.21,67.19,241.0
131.32,318.28,27.55,65.77,8.81,23.74,303.0
124.77,292.72,34.59,70.3,4.89,47.55,297.0
168.38,314.83,24.29,43.0,3.66,13.98,275.0
39.21,86.55,31.35,45.03,3.32,132.77,116.0
12.34,23.83,25.16,63.06,2.75,95.1,57.0
80.44,154.33,24.92,64.78,5.49,124.1,178.0
177.65,239.67,33.61,65.2,8.07,83.02,346.0
54.45,74.27,32.8,64.13,3.18,93.93,134.0
169.99,321.01,30.72,49.64,1.98,108.12,307.0
242.63,375.96,20.93,49.74,4.81,137.12,392.0
28.01,34.37,25.9,42.74,0.78,22.85,35.0
169.79,363.29,19.48,37.84,7.04,56.33,291.0
113.72,141.27,23.88,64.63,5.23,109.26,223.0
217.69,429.7,24.68,34.66,5.01,144.17,361.0
48.4,92.01,31.63,76.89,3.07,147.31,156.0
174.69,429.65,32.92,71.33,9.06,99.33,470.0
210.34,384.81,23.29,72.88,1.0,37.1,368.0
236.43,303.27,15.35,75.33,8.71,26.69,361.0
172.4,330.52,32.24,50.43,3.83,142.45,334.0
126.81,290.82,18.49,72.34,8.82,70.75,300.0
156.37,390.29,27.44,37.9,7.31,37.27,326.0
217.88,383.35,15.5,31.08,1.13,140.74,311.0
144.8,234.05,22.99,69.24,8.33,24.63,275.0
12.44,29.6,34.72,33.74,6.85,112.14,89.0
233.08,337.65,17.01,79.43,0.42,97.54,362.0
173.93,347.88,23.47,63.74,1.42,22.28,296.0
170.75,294.95,21.14,67.67,6.39,57.42,323.0
57.84,72.5,33.1,42.29,6.66,30.99,136.0
166.43,274.85,32.39,63.69,7.49,94.63,333.0
101.5,156.79,19.75,32.16,7.23,76.8,158.0
164.55,344.23,16.62,71.89,6.63,10.6,310.0
31.12,75.72,27.54,38.48,7.69,146.6,128.0
166.17,257.31,21.73,64.87,5.79,58.94,276.0
249.86,563.4,28.44,41.22,2.68,46.15,445.0
16.81,21.38,15.64,33.42,9.13,41.14,57.0
244.41,464.27,17.67,54.07,0.28,32.23,375.0
104.69,135.23,28.73,38.46,3.73,149.88,174.0
218.33,527.11,19.25,66.47,7.32,51.32,449.0
196.68,431.97,32.15,41.88,4.33,66.77,374.0
143.92,295.8,16.17,47.12,0.35,131.99,226.0
185.92,422.24,19.31,58.37,0.75,99.86,336.0
220.24,449.67,34.97,44.25,6.52,61.62,409.0
104.01,255.84,23.66,48.9,9.65,135.77,250.0
85.12,181.15,29.06,70.78,5.56,114.96,223.0
168.56,404.89,18.65,38.96,5.12,41.91,275.0
202.92,379.93,27.2,34.11,3.25,100.12,304.0
191.76,259.29,29.52,46.42,2.64,139.14,283.0
200.46,378.2,21.29,51.22,0.31,79.5,332.0
111.72,152.49,31.58,57.13,2.8,112.71,206.0
205.37,404.63,27.07,48.62,4.55,145.95,378.0
34.45,62.95,22.78,69.5,2.06,106.66,100.0
138.4,278.09,26.15,31.97,0.96,24.34,209.0
6.41,7.78,26.54,51.59,7.21,44.24,57.0
84.52,122.84,18.31,49.11,8.96,93.31,168.0
94.78,174.28,23.05,62.38,9.37,48.58,206.0
102.06,248.59,21.87,78.31,6.22,144.06,269.0
175.39,297.93,23.02,55.52,0.62,66.75,286.0
100.2,175.51,30.22,79.34,7.43,74.01,242.0
114.93,244.7,24.65,45.11,1.19,108.22,207.0
63.2,125.44,33.81,31.54,6.73,83.39,146.0
96.45,153.22,20.87,38.28,7.82,63.5,149.0
60.68,105.22,23.31,49.76,7.29,20.73,132.0
22.93,34.01,30.74,45.82,9.52,93.5,90.0
152.84,375.36,25.92,34.85,7.41,131.46,319.0
168.71,231.11,25.94,51.63,6.96,106.01,288.0
156.78,263.91,16.07,46.91,2.69,63.41,232.0
118.56,146.25,22.97,36.13,9.26,27.88,194.0
98.05,145.93,20.41,44.81,1.88,124.29,150.0
216.52,479.5,34.99,74.32,9.06,141.84,500.0
132.18,193.18,21.17,45.1,3.2,64.36,201.0
122.4,159.62,32.69,65.7,1.39,112.01,220.0
11.28,20.5,28.52,60.6,8.28,67.51,69.0
88.61,107.48,21.82,51.36,0.12,80.32,133.0
98.15,128.59,25.87,41.95,8.34,127.11,198.0
102.71,231.09,31.81,48.45,2.7,21.68,205.0
147.14,324.14,32.67,59.61,8.86,84.25,337.0
135.73,324.36,18.21,47.54,6.95,40.05,253.0
153.94,355.73,21.79,40.74,6.7,57.57,286.0
192.4,401.75,21.7,35.82,3.72,100.22,324.0
204.18,258.91,15.84,73.99,0.69,13.81,262.0
180.94,401.27,26.96,52.02,8.32,93.14,371.0
239.1,549.74,32.1,61.26,1.79,49.68,482.0
9.47,21.19,22.63,54.52,3.79,103.73,55.0
52.97,98.57,29.8,73.63,6.04,29.82,125.0
6.85,10.3,27.55,57.35,4.87,113.01,58.0
163.63,376.18,22.51,54.04,2.07,100.39,307.0
225.02,482.73,17.82,76.23,1.49,145.97,420.0
64.65,160.02,29.19,65.98,1.32,137.57,167.0
232.12,325.53,32.09,35.58,8.64,49.66,361.0
19.77,29.52,28.72,38.89,0.41,13.82,37.0
233.94,345.14,15.36,69.36,9.77,101.75,382.0
91.15,203.29,19.32,71.79,2.07,94.4,193.0
29.85,43.07,16.39,57.26,1.19,13.84,39.0
124.04,159.6,26.41,57.72,5.81,27.17,202.0
67.91,169.65,30.13,61.6,0.89,91.86,164.0
74.79,92.17,17.21,51.96,6.06,137.66,146.0
80.29,183.52,31.77,64.01,8.52,136.91,233.0
201.74,337.91,26.11,35.42,0.57,31.21,284.0
137.09,314.51,28.8,78.06,8.02,63.84,327.0
81.27,156.12,34.43,67.51,4.01,16.05,193.0
154.53,366.57,16.67,61.56,1.68,75.7,292.0
180.46,433.83,33.02,45.82,1.84,115.43,377.0
71.79,87.0,17.52,38.05,9.2,120.6,125.0
106.32,138.01,22.86,50.47,1.19,79.86,153.0
34.86,53.18,32.03,63.08,8.68,23.42,108.0
49.38,102.23,33.13,61.69,5.49,63.39,119.0
171.87,404.72,25.13,49.13,0.49,140.49,338.0
49.45,88.91,26.88,60.66,4.7,42.15,129.0
133.67,265.87,29.16,70.69,8.19,54.77,325.0
178.72,258.25,31.66,31.31,7.29,114.56,285.0
31.18,70.06,17.43,52.53,4.94,112.7,95.0
143.99,353.86,31.2,67.93,8.61,137.71,392.0
67.86,105.12,24.63,57.31,1.29,64.34,117.0
240.92,444.08,24.01,62.57,9.11,82.04,449.0
123.47,161.98,23.48,55.83,8.48,75.43,205.0
202.47,390.13,25.18,79.59,7.11,139.89,450.0
139.81,259.15,33.9,32.73,8.2,117.71,278.0
15.64,21.7,25.96,54.55,5.48,126.4,69.0
160.12,284.17,34.06,34.57,6.78,28.63,286.0
238.09,389.13,18.61,37.99,5.65,120.86,352.0
152.39,286.26,29.48,49.15,3.62,70.62,281.0
205.7,403.45,31.24,37.78,5.73,13.27,354.0
221.63,268.4,28.58,78.18,2.65,18.41,373.0
60.88,133.28,27.14,77.34,4.46,104.91,167.0
56.95,121.13,26.3,46.81,2.88,62.08,137.0
154.69,259.29,32.22,61.99,1.32,131.54,302.0
105.7,134.12,31.43,56.69,3.29,112.8,198.0
210.77,459.77,17.45,70.78,8.53,13.04,405.0
225.51,550.62,31.97,61.37,3.87,106.16,500.0
91.59,138.5,23.28,30.01,7.51,36.93,155.0
63.03,102.15,20.07,68.16,1.83,69.16,109.0
196.23,282.36,32.4,67.34,4.3,97.46,353.0
72.33,141.04,23.64,55.49,1.24,132.18,153.0
206.54,289.42,31.17,75.15,1.47,73.85,353.0
108.82,180.97,20.27,75.42,6.21,123.19,230.0
168.55,354.99,15.08,56.2,6.11,119.62,318.0
28.41,54.77,24.91,60.4,2.21,68.04,76.0
157.85,268.72,17.0,79.83,4.8,80.14,282.0
115.68,202.02,30.09,44.94,8.65,108.07,258.0
148.72,287.14,20.52,46.23,1.82,14.36,236.0
46.16,55.75,23.87,39.14,0.29,134.71,92.0
185.53,241.58,16.74,74.79,6.55,117.77,288.0
216.39,507.56,20.73,67.22,0.63,44.92,407.0
58.1,75.6,30.63,35.28,9.8,147.37,160.0
28.45,60.28,18.03,79.09,6.14,35.11,107.0
10.79,25.86,27.94,66.55,4.76,137.97,64.0
162.28,251.85,33.35,72.53,4.36,55.43,330.0
153.74,258.53,28.6,32.41,5.77,116.84,280.0
138.94,269.49,31.22,55.25,1.0,73.89,240.0
61.83,145.06,17.18,64.93,9.31,113.11,180.0
100.77,244.32,20.01,57.15,6.29,31.81,219.0
150.65,325.61,32.89,63.33,1.92,47.73,307.0
126.71,166.32,29.3,70.89,5.67,23.98,227.0
247.01,511.28,27.79,48.72,1.42,131.12,451.0
38.43,66.61,28.28,72.43,0.27,51.48,73.0
175.31,317.65,23.28,38.15,6.34,107.23,294.0
104.06,131.52,15.89,43.54,6.52,124.83,178.0
109.91,159.19,30.69,32.17,5.88,136.2,218.0
180.81,402.79,28.57,48.22,1.92,24.88,334.0
174.65,312.64,24.46,49.0,6.07,135.02,320.0
247.86,394.63,33.0,70.26,0.66,37.62,431.0
36.46,61.95,21.72,62.66,6.13,113.17,100.0
30.51,70.49,20.89,51.84,5.58,112.04,111.0
182.46,396.62,32.46,62.61,6.59,11.19,387.0
146.7,227.98,30.94,32.64,8.97,40.89,265.0
72.17,97.63,25.3,39.01,8.52,78.87,144.0
24.46,37.36,17.61,61.35,9.81,68.8,89.0
25.99,62.29,19.3,62.07,9.76,138.6,126.0
224.08,438.31,28.12,68.71,7.75,60.36,456.0
52.01,98.48,22.7,50.15,9.57,141.18,142.0
84.23,166.37,31.73,66.13,8.69,74.32,240.0
60.53,101.44,34.0,64.2,7.3,145.01,174.0
91.97,206.87,31.11,78.17,0.85,113.23,231.0
22.01,41.38,22.55,40.76,0.59,126.11,66.0
132.17,178.66,30.77,57.58,8.39,24.68,233.0
21.57,29.5,22.03,60.09,4.95,92.06,64.0
201.09,381.65,18.34,79.93,8.16,29.98,384.0
62.26,150.51,15.67,40.06,3.2,51.67,109.0
137.3,219.8,22.71,56.16,4.04,97.3,256.0
220.62,514.13,33.07,47.31,7.03,111.67,467.0
164.46,360.72,19.78,56.29,9.16,15.49,326.0
135.57,206.37,19.13,41.61,0.97,84.33,197.0
84.46,105.34,34.4,32.38,8.63,89.14,173.0
86.59,115.37,15.5,58.63,7.95,21.04,151.0
169.02,362.9,30.72,46.79,3.22,80.1,337.0
248.56,362.8,21.43,39.1,3.62,109.94,342.0
167.15,281.26,15.75,46.2,0.56,17.45,242.0
141.66,262.38,33.36,32.46,0.26,116.44,227.0
184.01,394.35,17.79,77.52,4.82,90.7,374.0
118.98,160.28,26.04,59.06,1.05,126.65,186.0
19.73,34.11,20.48,70.74,2.02,40.53,47.0
142.76,261.34,16.3,51.16,8.48,126.66,264.0
239.62,456.01,16.0,75.17,5.75,23.24,413.0
47.95,108.55,17.31,54.17,6.37,66.54,118.0
174.05,247.71,16.43,58.7,1.96,37.93,230.0
54.23,122.02,30.21,54.59,8.3,132.64,163.0
136.28,286.28,24.71,66.66,8.69,108.69,317.0
28.69,55.15,21.86,58.33,5.28,13.55,75.0
115.34,243.3,23.37,43.58,9.13,11.33,219.0
190.26,330.22,33.58,37.28,8.46,50.77,356.0
90.16,124.41,33.22,60.31,7.34,30.06,175.0
167.9,346.8,29.31,54.46,7.37,98.24,348.0
199.89,376.2,32.69,34.8,1.14,102.93,330.0
232.16,471.56,21.39,49.78,2.78,141.87,407.0
62.49,102.44,22.62,55.74,0.76,143.29,124.0
102.83,244.63,27.27,71.34,0.19,102.25,227.0
42.34,83.14,27.47,33.81,1.67,10.79,55.0
248.16,325.34,24.63,47.42,8.82,60.26,387.0
232.12,414.27,23.01,71.13,2.47,81.84,410.0
137.29,299.74,34.72,62.42,9.7,79.89,344.0
211.3,471.7,31.42,44.5,6.01,94.47,413.0
132.63,244.44,23.7,72.27,2.45,144.48,260.0
157.78,372.86,29.55,54.66,5.02,133.93,365.0
26.84,41.54,20.39,54.92,2.27,25.25,36.0
190.04,329.49,17.0,78.83,9.84,47.24,350.0
